Scanning 3400 files...
  FIXED: 2025-04-29_Troubleshooting_Virtual_Environment_Setup_Error_in_VS_Code_47829910.md (normalized_dashes)
  FIXED: 2025-11-17_Ollama_server_startup_and_configuration_21643883.md (normalized_dashes)
  FIXED: 2025-11-17_Open_source_LLM_for_coding_with_RTX_3070_72758463.md (normalized_dashes)
  FIXED: 2025-11-18_Ollama_GPU_acceleration_not_detected_30133495.md (normalized_dashes)
  FIXED: 2025-12-02_Reviewing_planmd_for_flappy_bird_project_24353316.md (normalized_dashes)
  FIXED: 2025-12-08_Verifying_local_git_commits_20791312.md (normalized_dashes)
  FIXED: 2026-02-04_Syncing_save_data_between_CachyOS_PC_and_Steam_Deck_24965178.md (normalized_dashes)
  FIXED: 2026-02-22_OBS_not_appearing_in_app_tray_83381491.md (normalized_dashes)
  FIXED: 2026-03-09_Vortex_mod_manager_alternatives_86541256.md (normalized_dashes)
  FIXED: 2026-04-07_Exporting_Gemini_chats_to_Obsidian_34672963.md (normalized_dashes)
  FIXED: 2026-04-09_Hermes_agent_project_blueprint_review_47311893.md (normalized_dashes)
  FIXED: 2025-04-23_File_cUsersBryanDesktopPhython_Projectssolana_loggertrackerp_69675563.md (normalized_dashes)
  FIXED: 2025-04-23_PS_CUsersBryanDesktopPhython_Projectssolana_logger_CUsersBry_10202097.md (normalized_dashes)
  FIXED: 2025-04-25_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_18066649.md (normalized_dashes)
  FIXED: 2025-04-25_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_51583248.md (normalized_dashes)
  FIXED: 2025-04-25_so_a_dictionary_just_asigns_a_word_to_a_value_you_give_it_in_68031030.md (normalized_dashes)
  FIXED: 2025-04-29_CUsersBryanAppDataLocalProgramsPythonPython313pythonexe_cUse_11781524.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_13438666.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_16441066.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_21785109.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_25337922.md (normalized_dashes)
  FIXED: 2025-04-29_PS_CUsersBryan_CUsersBryanAppDataLocalProgramsPythonPython31_30998916.md (normalized_dashes)
